"Station Name","ST. JOHN'S INTL A"
"Province","NEWFOUNDLAND"
"Latitude","47.62"
"Longitude","-52.75"
"Elevation","140.50"
"Climate Identifier","8403505"
"WMO Identifier","71801"
"TC Identifier","YYT"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","‡","-10.4","","-15.1","","-12.8","","30.8","","0.0","","0.0","","0.0","T","0.0","T","66","","29","","69",""
"2014-01-02","2014","01","02","‡","-13.4","","-18.4","","-15.9","","33.9","","0.0","","0.0","","0.0","","0.0","","66","","29","","82",""
"2014-01-03","2014","01","03","‡","-6.6","","-18.3","","-12.5","","30.5","","0.0","","0.0","","28.4","","26.6","","66","","33","","89",""
"2014-01-04","2014","01","04","‡","-7.7","","-14.9","","-11.3","","29.3","","0.0","","0.0","","10.4","","6.2","","103","","29","","111",""
"2014-01-05","2014","01","05","‡","-3.2","","-11.2","","-7.2","","25.2","","0.0","","0.0","","0.0","T","0.0","T","103","","29","","74",""
"2014-01-06","2014","01","06","‡","-2.3","","-11.0","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","103","","16","","80",""
"2014-01-07","2014","01","07","‡","9.6","","-5.6","","2.0","","16.0","","0.0","","12.6","","0.2","","12.8","","102","","26","","100",""
"2014-01-08","2014","01","08","‡","-5.6","","-9.3","","-7.5","","25.5","","0.0","","0.0","","2.0","","1.4","","88","","","","<31",""
"2014-01-09","2014","01","09","‡","-4.2","","-11.2","","-7.7","","25.7","","0.0","","0.0","","1.4","","1.0","","90","","29","","70",""
"2014-01-10","2014","01","10","‡","-4.8","","-12.8","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","90","","31","","74",""
"2014-01-11","2014","01","11","‡","2.0","","-4.9","","-1.5","","19.5","","0.0","","0.0","T","0.0","","0.0","T","88","","27","","76",""
"2014-01-12","2014","01","12","‡","10.8","","1.8","","6.3","","11.7","","0.0","","15.6","","0.0","","15.6","","84","","21","","117",""
"2014-01-13","2014","01","13","‡","3.9","","-2.0","","1.0","","17.0","","0.0","","0.6","","0.2","","0.6","","36","","28","","83",""
"2014-01-14","2014","01","14","‡","7.2","","-3.0","","2.1","","15.9","","0.0","","0.0","","0.0","","0.0","","34","","21","","69",""
"2014-01-15","2014","01","15","‡","11.2","","-0.2","","5.5","","12.5","","0.0","","2.4","","0.0","","2.4","","29","","24","","106",""
"2014-01-16","2014","01","16","‡","9.9","","1.4","","5.7","","12.3","","0.0","","13.0","","0.0","","13.0","","5","","13","","50",""
"2014-01-17","2014","01","17","‡","12.2","","-0.8","","5.7","","12.3","","0.0","","15.0","","0.0","","15.0","","1","","23","","72",""
"2014-01-18","2014","01","18","‡","2.0","","-0.8","","0.6","","17.4","","0.0","","0.4","","0.0","","0.4","","1","","","","<31",""
"2014-01-19","2014","01","19","‡","2.6","","-2.5","","0.1","","17.9","","0.0","","2.0","","0.4","","2.4","","1","","30","","82",""
"2014-01-20","2014","01","20","‡","2.0","","-1.5","","0.3","","17.7","","0.0","","0.0","","2.2","","2.0","","3","","24","","63",""
"2014-01-21","2014","01","21","‡","3.8","","-7.6","","-1.9","","19.9","","0.0","","0.8","","0.0","T","0.8","","0","","24","","67",""
"2014-01-22","2014","01","22","‡","9.9","","-7.6","","1.2","","16.8","","0.0","","10.0","","5.4","","13.2","","1","","20","","83",""
"2014-01-23","2014","01","23","‡","9.1","","-5.0","","2.1","","15.9","","0.0","","0.4","","0.0","T","0.4","","0","","22","","117",""
"2014-01-24","2014","01","24","‡","-3.1","","-7.6","","-5.4","","23.4","","0.0","","0.0","","1.4","","1.0","","1","","24","","61",""
