"Station Name","SPARWOOD CS"
"Province","BRITISH COLUMBIA"
"Latitude","49.75"
"Longitude","-114.88"
"Elevation","1136.70"
"Climate Identifier","1157631"
"WMO Identifier","71782"
"TC Identifier","WGW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","†","-4.5","","-12.0","","-8.3","","26.3","","0.0","","","M","","M","","M","","","","","<31",""
"2013-01-02","2013","01","02","†","-6.5","","-8.8","","-7.7","","25.7","","0.0","","","M","","M","","M","","","","","<31",""
"2013-01-03","2013","01","03","†","-7.2","","-16.4","","-11.8","","29.8","","0.0","","","M","","M","","M","","","","","<31",""
"2013-01-04","2013","01","04","†","-2.9","","-16.4","","-9.7","","27.7","","0.0","","","M","","M","","M","","","20","","35",""
"2013-01-05","2013","01","05","†","-3.9","","-10.2","","-7.1","","25.1","","0.0","","","M","","M","","M","","","","","<31",""
"2013-01-06","2013","01","06","†","-1.0","","-5.0","","-3.0","","21.0","","0.0","","","M","","M","","M","","","15","","44",""
"2013-01-07","2013","01","07","†","1.1","","-4.0","","-1.5","","19.5","","0.0","","","M","","M","","M","","","14","","63",""
"2013-01-08","2013","01","08","†","1.4","","-4.3","","-1.5","","19.5","","0.0","","","M","","M","","M","","","18","","35",""
"2013-01-09","2013","01","09","†","5.2","","-3.2","","1.0","","17.0","","0.0","","","M","","M","","M","","","18","","57",""
"2013-01-10","2013","01","10","†","1.0","","-6.8","","-2.9","","20.9","","0.0","","","M","","M","","M","","","13","","37",""
"2013-01-11","2013","01","11","†","-5.7","","-18.3","","-12.0","","30.0","","0.0","","","M","","M","","M","","","","","<31",""
"2013-01-12","2013","01","12","†","-6.4","","-19.2","","-12.8","","30.8","","0.0","","","M","","M","","M","","","","","<31",""
"2013-01-13","2013","01","13","†","-8.2","","-19.7","","-14.0","","32.0","","0.0","","","M","","M","","M","","","","","<31",""
"2013-01-14","2013","01","14","†","-6.9","","-16.0","","-11.5","","29.5","","0.0","","","M","","M","","M","","","20","","35",""
"2013-01-15","2013","01","15","†","-4.0","","-11.6","","-7.8","","25.8","","0.0","","","M","","M","","M","","","","","<31",""
"2013-01-16","2013","01","16","†","1.6","","-13.0","","-5.7","","23.7","","0.0","","","M","","M","","M","","","18","","33",""
"2013-01-17","2013","01","17","†","2.9","","-9.7","","-3.4","","21.4","","0.0","","","M","","M","","M","","","16","","56",""
"2013-01-18","2013","01","18","†","5.2","","-0.2","","2.5","","15.5","","0.0","","","M","","M","","M","","","19","","57",""
"2013-01-19","2013","01","19","†","3.8","","-10.9","","-3.6","","21.6","","0.0","","","M","","M","","M","","","20","","35",""
"2013-01-20","2013","01","20","†","-1.3","","-12.0","","-6.7","","24.7","","0.0","","","M","","M","","M","","","10","","48",""
"2013-01-21","2013","01","21","†","-4.2","","-16.2","","-10.2","","28.2","","0.0","","","M","","M","","M","","","","","<31",""
"2013-01-22","2013","01","22","†","-4.5","","-16.6","","-10.6","","28.6","","0.0","","","M","","M","","M","","","","","<31",""
"2013-01-23","2013","01","23","†","1.1","","-10.9","","-4.9","","22.9","","0.0","","","M","","M","","M","","","","","<31",""
"2013-01-24","2013","01","24","†","2.9","","-1.5","","0.7","","17.3","","0.0","","","M","","M","","M","","","16","","43",""
"2013-01-25","2013","01","25","†","2.2","","-1.4","","0.4","","17.6","","0.0","","","M","","M","","M","","","15","","33",""
"2013-01-26","2013","01","26","†","2.6","","-2.1","","0.3","","17.7","","0.0","","","M","","M","","M","","","19","","32",""
"2013-01-27","2013","01","27","†","-0.1","","-5.2","","-2.7","","20.7","","0.0","","","M","","M","","M","","","","","<31",""
"2013-01-28","2013","01","28","†","-1.3","","-10.3","","-5.8","","23.8","","0.0","","","M","","M","","M","","","","","<31",""
"2013-01-29","2013","01","29","†","-8.1","","-14.5","","-11.3","","29.3","","0.0","","","M","","M","","M","","","10","","57",""
"2013-01-30","2013","01","30","†","3.1","","-15.3","","-6.1","","24.1","","0.0","","","M","","M","","M","","","19","","33",""
"2013-01-31","2013","01","31","†","4.1","","-5.3","","-0.6","","18.6","","0.0","","","M","","M","","M","","","20","","35",""
"2013-02-01","2013","02","01","†","6.2","","-3.5","","1.4","","16.6","","0.0","","","M","","M","","M","","","19","","41",""
"2013-02-02","2013","02","02","†","6.7","","-0.1","","3.3","","14.7","","0.0","","","M","","M","","M","","","19","","37",""
"2013-02-03","2013","02","03","†","5.0","","-1.5","","1.8","","16.2","","0.0","","","M","","M","","M","","","13","","46",""
"2013-02-04","2013","02","04","†","3.9","","1.2","","2.6","","15.4","","0.0","","","M","","M","","M","","","19","","48",""
